person	riksdagid	pob
http://www.wikidata.org/entity/Q4935739	0551013247907	http://www.wikidata.org/entity/Q10495202
http://www.wikidata.org/entity/Q4935815	0688961392304	
http://www.wikidata.org/entity/Q4935938	0628190530410	http://www.wikidata.org/entity/Q10432594
http://www.wikidata.org/entity/Q4935945	0223175563813	http://www.wikidata.org/entity/Q10681185
http://www.wikidata.org/entity/Q4936035	0755978501008	http://www.wikidata.org/entity/Q10430628
http://www.wikidata.org/entity/Q4940303	0729710260118	http://www.wikidata.org/entity/Q10532076
http://www.wikidata.org/entity/Q4941925	0737073162411	http://www.wikidata.org/entity/Q10568302
http://www.wikidata.org/entity/Q4942986	0402521607405	
http://www.wikidata.org/entity/Q4944235	0395613047500	
http://www.wikidata.org/entity/Q4944988	0708340640717	http://www.wikidata.org/entity/Q10727632
http://www.wikidata.org/entity/Q4945656	0480339311713	
http://www.wikidata.org/entity/Q4945706	023001325318	http://www.wikidata.org/entity/Q10718088
http://www.wikidata.org/entity/Q4946795	0256404677510	http://www.wikidata.org/entity/Q10430709
http://www.wikidata.org/entity/Q4946821	0906336297511	
http://www.wikidata.org/entity/Q4947360	0406670261803	http://www.wikidata.org/entity/Q28911
http://www.wikidata.org/entity/Q4948778	038604236714	
http://www.wikidata.org/entity/Q4952231	0190560012714	http://www.wikidata.org/entity/Q25457
http://www.wikidata.org/entity/Q4952392	0488772415405	
http://www.wikidata.org/entity/Q4955459	0521844714515	http://www.wikidata.org/entity/Q35
http://www.wikidata.org/entity/Q4955842	0933523418809	http://www.wikidata.org/entity/Q10727581
http://www.wikidata.org/entity/Q4956659	0742251416419	
http://www.wikidata.org/entity/Q4956893	0691264514114	http://www.wikidata.org/entity/Q25287
http://www.wikidata.org/entity/Q4956970	0666354900406	
http://www.wikidata.org/entity/Q4958102	0199751900210	http://www.wikidata.org/entity/Q13107192
http://www.wikidata.org/entity/Q4958997	0196024739401	
http://www.wikidata.org/entity/Q4961647	0351107680112	http://www.wikidata.org/entity/Q10612957
http://www.wikidata.org/entity/Q4962466	0559925283228	http://www.wikidata.org/entity/Q10570024
http://www.wikidata.org/entity/Q4963562	0705556766027	http://www.wikidata.org/entity/Q3110
http://www.wikidata.org/entity/Q4965523	0500946976511	http://www.wikidata.org/entity/Q10681425
http://www.wikidata.org/entity/Q4969533	0370034713503	
http://www.wikidata.org/entity/Q4970743	0732677378827	http://www.wikidata.org/entity/Q385
http://www.wikidata.org/entity/Q4970890	0380453403808	
http://www.wikidata.org/entity/Q4972634	0176437434123	
http://www.wikidata.org/entity/Q4975858	0664384557700	http://www.wikidata.org/entity/Q33
http://www.wikidata.org/entity/Q4975999	0332753845811	http://www.wikidata.org/entity/Q10562793
http://www.wikidata.org/entity/Q4976340	0634320940409	
http://www.wikidata.org/entity/Q4976504	0311892218602	
http://www.wikidata.org/entity/Q4976716	0900533740700	http://www.wikidata.org/entity/Q57234599
http://www.wikidata.org/entity/Q4976788	0311009915309	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q4979095	0655109700507	
http://www.wikidata.org/entity/Q4980053	0314794471216	http://www.wikidata.org/entity/Q10588907
http://www.wikidata.org/entity/Q4981393	0899112324519	http://www.wikidata.org/entity/Q10571243
http://www.wikidata.org/entity/Q4984603	0761174174409	
http://www.wikidata.org/entity/Q4990157	0381915897316	
http://www.wikidata.org/entity/Q4990351	0435526123410	
http://www.wikidata.org/entity/Q4990382	0503986647505	http://www.wikidata.org/entity/Q10576131
http://www.wikidata.org/entity/Q5109205	0455256796113	http://www.wikidata.org/entity/Q10568686
http://www.wikidata.org/entity/Q5388484	0513020576128	http://www.wikidata.org/entity/Q10711960
http://www.wikidata.org/entity/Q5554920	0964730940415	http://www.wikidata.org/entity/Q10589633
http://www.wikidata.org/entity/Q5555345	0791916121004	http://www.wikidata.org/entity/Q26518
http://www.wikidata.org/entity/Q5556973	0892978334516	http://www.wikidata.org/entity/Q1303800
http://www.wikidata.org/entity/Q5561846	0135054091316	
http://www.wikidata.org/entity/Q5574173	0737824098113	http://www.wikidata.org/entity/Q10727064
http://www.wikidata.org/entity/Q5577484	0880162479603	http://www.wikidata.org/entity/Q10563269
http://www.wikidata.org/entity/Q5579360	0227205756208	
http://www.wikidata.org/entity/Q5582047	0828672375390	http://www.wikidata.org/entity/Q10431811
http://www.wikidata.org/entity/Q5596953	0980370282703	
http://www.wikidata.org/entity/Q5605672	0123545007825	http://www.wikidata.org/entity/Q10484135
http://www.wikidata.org/entity/Q5608191	0126791491904	http://www.wikidata.org/entity/Q17151
http://www.wikidata.org/entity/Q5615474	0339624201100	http://www.wikidata.org/entity/Q10710237
http://www.wikidata.org/entity/Q5616258	0284039893826	http://www.wikidata.org/entity/Q10673010
http://www.wikidata.org/entity/Q5626648	0780069612618	
http://www.wikidata.org/entity/Q5627199	024173757595	
http://www.wikidata.org/entity/Q5717777	0573273704102	
http://www.wikidata.org/entity/Q5731042	0861447317415	
http://www.wikidata.org/entity/Q5737254	0543481046604	
http://www.wikidata.org/entity/Q5740872	034408872004	
http://www.wikidata.org/entity/Q5741003	0802410630201	http://www.wikidata.org/entity/Q3438210
http://www.wikidata.org/entity/Q5742656	0599003208801	
http://www.wikidata.org/entity/Q5743823	0658894113791	http://www.wikidata.org/entity/Q10674040
http://www.wikidata.org/entity/Q5747727	0229002789006	http://www.wikidata.org/entity/Q10542111
http://www.wikidata.org/entity/Q5756351	0891731772016	
http://www.wikidata.org/entity/Q5768681	0634122058105	
http://www.wikidata.org/entity/Q5768911	0834369509410	http://www.wikidata.org/entity/Q54344
http://www.wikidata.org/entity/Q5774706	0736538502404	
http://www.wikidata.org/entity/Q5777864	0534056896314	
http://www.wikidata.org/entity/Q5779628	0987147242812	
http://www.wikidata.org/entity/Q5782782	0232551233302	
http://www.wikidata.org/entity/Q5786495	0555321980101	http://www.wikidata.org/entity/Q7944450
http://www.wikidata.org/entity/Q5799722	0334042720405	http://www.wikidata.org/entity/Q10673304
http://www.wikidata.org/entity/Q5807932	0980316377627	http://www.wikidata.org/entity/Q10419816
http://www.wikidata.org/entity/Q5816436	069309987221	http://www.wikidata.org/entity/Q10498130
http://www.wikidata.org/entity/Q5817672	0936271144504	http://www.wikidata.org/entity/Q10570482
http://www.wikidata.org/entity/Q5854875	0763673691509	http://www.wikidata.org/entity/Q930262
http://www.wikidata.org/entity/Q5863281	0188408764206	http://www.wikidata.org/entity/Q18290535
http://www.wikidata.org/entity/Q5881540	075608413801	http://www.wikidata.org/entity/Q10550317
http://www.wikidata.org/entity/Q5889525	0333564361692	http://www.wikidata.org/entity/Q10728536
http://www.wikidata.org/entity/Q5890277	0742132383497	http://www.wikidata.org/entity/Q10480761
http://www.wikidata.org/entity/Q5902061	0410542963401	
http://www.wikidata.org/entity/Q5908653	0846623992109	
http://www.wikidata.org/entity/Q5910434	0294138886823	http://www.wikidata.org/entity/Q10526832
http://www.wikidata.org/entity/Q5927536	0544752215503	
http://www.wikidata.org/entity/Q5953825	0634013303818	
http://www.wikidata.org/entity/Q5954984	0397377293714	
http://www.wikidata.org/entity/Q5955199	0393583311409	http://www.wikidata.org/entity/Q10683835
http://www.wikidata.org/entity/Q5958748	0283299919701	http://www.wikidata.org/entity/Q10728626
http://www.wikidata.org/entity/Q5967964	0489096664719	
http://www.wikidata.org/entity/Q5969761	0150027900515	
http://www.wikidata.org/entity/Q5969868	0600369882602	http://www.wikidata.org/entity/Q10718358
http://www.wikidata.org/entity/Q53747	0825004049003	http://www.wikidata.org/entity/Q777901
http://www.wikidata.org/entity/Q155382	0926494078404	http://www.wikidata.org/entity/Q10717704
http://www.wikidata.org/entity/Q253640	0356767744510	http://www.wikidata.org/entity/Q10418312
http://www.wikidata.org/entity/Q263366	0389619060499	http://www.wikidata.org/entity/Q10519255
http://www.wikidata.org/entity/Q321595	0552112259207	http://www.wikidata.org/entity/Q21165
http://www.wikidata.org/entity/Q444747	031414803913	http://www.wikidata.org/entity/Q10489080
http://www.wikidata.org/entity/Q450368	0321274454602	http://www.wikidata.org/entity/Q25287
http://www.wikidata.org/entity/Q496604	0195228370311	http://www.wikidata.org/entity/Q113673
http://www.wikidata.org/entity/Q514593	0468206532916	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q517762	0925516323103	http://www.wikidata.org/entity/Q10484135
http://www.wikidata.org/entity/Q952026	099373212513	http://www.wikidata.org/entity/Q2391850
http://www.wikidata.org/entity/Q966884	0745549193810	http://www.wikidata.org/entity/Q10571243
http://www.wikidata.org/entity/Q2021126	059100119006	http://www.wikidata.org/entity/Q10568321
http://www.wikidata.org/entity/Q2494607	0354791692918	http://www.wikidata.org/entity/Q2194673
http://www.wikidata.org/entity/Q2938797	0882001830516	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q3218127	0815435847817	http://www.wikidata.org/entity/Q2211
http://www.wikidata.org/entity/Q3358782	0822276103016	http://www.wikidata.org/entity/Q1935387
http://www.wikidata.org/entity/Q3363827	0859968278117	http://www.wikidata.org/entity/Q10658638
http://www.wikidata.org/entity/Q3370162	0937688366013	http://www.wikidata.org/entity/Q10512441
http://www.wikidata.org/entity/Q3373142	0291542732518	
http://www.wikidata.org/entity/Q3373674	0617957067613	http://www.wikidata.org/entity/Q10688270
http://www.wikidata.org/entity/Q3374562	0540190357911	http://www.wikidata.org/entity/Q2096361
http://www.wikidata.org/entity/Q3374627	0565167965311	
http://www.wikidata.org/entity/Q3492112	0680329141121	http://www.wikidata.org/entity/Q746839
http://www.wikidata.org/entity/Q3504785	0263862488414	http://www.wikidata.org/entity/Q10405620
http://www.wikidata.org/entity/Q4563096	0339894357417	http://www.wikidata.org/entity/Q10700532
http://www.wikidata.org/entity/Q4588714	0275724540919	http://www.wikidata.org/entity/Q10519481
http://www.wikidata.org/entity/Q4609260	0395416536118	http://www.wikidata.org/entity/Q10541120
http://www.wikidata.org/entity/Q4724776	014386615025	http://www.wikidata.org/entity/Q794
http://www.wikidata.org/entity/Q4765508	0977824845202	
http://www.wikidata.org/entity/Q4765556	0193303720505	
http://www.wikidata.org/entity/Q4767056	0227924728814	
